PM,  X,  Y
      39.0000000,        634334.417664,       3369154.000000
      39.0000000,        634344.396271,       3369179.000000
      39.0000000,        634355.263153,       3369204.000000
      39.0000000,        634364.441040,       3369228.999939
      39.0000000,        634373.171997,       3369254.000000
      39.0000000,        634381.427475,       3369279.000000
      39.0000000,        634389.178650,       3369304.000000
      39.0000000,        634395.581223,       3369329.000000
      39.0000000,        634401.406464,       3369353.999939
      39.0000000,        634406.665985,       3369379.000000
      39.0000000,        634410.935425,       3369404.000000
      39.0000000,        634414.661819,       3369429.000000
      39.0000000,        634418.321884,       3369454.000000
      39.0000000,        634420.564697,       3369478.999939
      39.0000000,        634422.770050,       3369504.000000
      39.0000000,        634424.489639,       3369529.000000
      39.0000000,        634425.727448,       3369554.000000
      39.0000000,        634426.013916,       3369579.000000
      39.0000000,        634425.817123,       3369603.999939
      39.0000000,        634425.602478,       3369629.000000
      39.0000000,        634424.425995,       3369654.000000
      39.0000000,        634422.004730,       3369678.999969
      39.0000000,        634418.849182,       3369704.000000
      39.0000000,        634415.463165,       3369729.000000
      39.0000000,        634411.500000,       3369754.000000
      39.0000000,        634406.500366,       3369779.000000
      39.0000000,        634401.002655,       3369803.999969
      39.0000000,        634394.791199,       3369829.000000
      39.0000000,        634388.056366,       3369854.000000
      39.0000000,        634380.514679,       3369879.000000
      39.0000000,        634372.330826,       3369903.999985
      39.0000000,        634363.323883,       3369929.000000
      39.0000000,        634353.708771,       3369954.000000
      39.0000000,        634343.448639,       3369979.000000
      39.0000000,        634332.446793,       3370004.000000
      39.0000000,        634320.709366,       3370029.000000
      39.0000000,        634308.074951,       3370054.000000
      39.0000000,        634294.273788,       3370079.000000
      39.0000000,        634279.011261,       3370104.000000
      39.0000000,        634262.108128,       3370129.000000
      89.0000000,        634215.000000,       3370129.000000
      89.0000000,        634169.310341,       3370129.000000
      89.0000000,        634154.758461,       3370104.000000
      89.0000000,        634141.748962,       3370079.000000
      89.0000000,        634130.241570,       3370054.000000
      89.0000000,        634119.985794,       3370029.000000
      89.0000000,        634110.606636,       3370004.000000
      89.0000000,        634102.110512,       3369979.000000
      89.0000000,        634094.360443,       3369954.000000
      89.0000000,        634087.400749,       3369929.000000
      89.0000000,        634081.256989,       3369903.999985
      89.0000000,        634076.035461,       3369879.000000
      89.0000000,        634071.690231,       3369854.000000
      89.0000000,        634068.323288,       3369829.000000
      89.0000000,        634065.737762,       3369803.999969
      89.0000000,        634063.840851,       3369779.000000
      89.0000000,        634063.087753,       3369754.000000
      89.0000000,        634063.655762,       3369729.000000
      89.0000000,        634064.904449,       3369704.000000
      89.0000000,        634067.085663,       3369678.999969
      89.0000000,        634070.707886,       3369654.000000
      89.0000000,        634076.161072,       3369629.000000
      89.0000000,        634083.326721,       3369603.999939
      89.0000000,        634091.967804,       3369579.000000
      89.0000000,        634102.542931,       3369554.000000
      89.0000000,        634115.821396,       3369529.000000
      89.0000000,        634132.656113,       3369504.000000
      89.0000000,        634157.063171,       3369478.999939
      89.0000000,        634215.000000,       3369456.009277
      89.0000000,        634272.936829,       3369478.999939
      89.0000000,        634297.343887,       3369504.000000
      89.0000000,        634314.178604,       3369529.000000
      89.0000000,        634327.457069,       3369554.000000
      89.0000000,        634338.032196,       3369579.000000
      89.0000000,        634346.673279,       3369603.999939
      89.0000000,        634353.838928,       3369629.000000
      89.0000000,        634359.292114,       3369654.000000
      89.0000000,        634362.914337,       3369678.999969
      89.0000000,        634365.095551,       3369704.000000
      89.0000000,        634366.344238,       3369729.000000
      89.0000000,        634366.912247,       3369754.000000
      89.0000000,        634366.159149,       3369779.000000
      89.0000000,        634364.262238,       3369803.999969
      89.0000000,        634361.676712,       3369829.000000
      89.0000000,        634358.309769,       3369854.000000
      89.0000000,        634353.964539,       3369879.000000
      89.0000000,        634348.743011,       3369903.999985
      89.0000000,        634342.599251,       3369929.000000
      89.0000000,        634335.639557,       3369954.000000
      89.0000000,        634327.889488,       3369979.000000
      89.0000000,        634319.393364,       3370004.000000
      89.0000000,        634310.014206,       3370029.000000
      89.0000000,        634299.758430,       3370054.000000
      89.0000000,        634288.251038,       3370079.000000
      89.0000000,        634275.241539,       3370104.000000
      89.0000000,        634260.689659,       3370129.000000
     139.0000000,        634215.000000,       3370129.000000
     139.0000000,        634170.091072,       3370129.000000
     139.0000000,        634156.864716,       3370104.000000
     139.0000000,        634145.155273,       3370079.000000
     139.0000000,        634134.986046,       3370054.000000
     139.0000000,        634126.069214,       3370029.000000
     139.0000000,        634118.116928,       3370004.000000
     139.0000000,        634111.104691,       3369979.000000
     139.0000000,        634104.927650,       3369954.000000
     139.0000000,        634099.631813,       3369929.000000
     139.0000000,        634095.253738,       3369903.999985
     139.0000000,        634091.992371,       3369879.000000
     139.0000000,        634089.775047,       3369854.000000
     139.0000000,        634088.736954,       3369829.000000
     139.0000000,        634088.719940,       3369803.999969
     139.0000000,        634089.744095,       3369779.000000
     139.0000000,        634092.249268,       3369754.000000
     139.0000000,        634096.657700,       3369729.000000
     139.0000000,        634102.372757,       3369704.000000
     139.0000000,        634109.879227,       3369678.999969
     139.0000000,        634120.256500,       3369654.000000
     139.0000000,        634135.425705,       3369629.000000
     139.0000000,        634157.355259,       3369603.999939
     139.0000000,        634215.000000,       3369579.048767
     139.0000000,        634272.644741,       3369603.999939
     139.0000000,        634294.574295,       3369629.000000
     139.0000000,        634309.743500,       3369654.000000
     139.0000000,        634320.120773,       3369678.999969
     139.0000000,        634327.627243,       3369704.000000
     139.0000000,        634333.342300,       3369729.000000
     139.0000000,        634337.750732,       3369754.000000
     139.0000000,        634340.255905,       3369779.000000
     139.0000000,        634341.280060,       3369803.999969
     139.0000000,        634341.263046,       3369829.000000
     139.0000000,        634340.224953,       3369854.000000
     139.0000000,        634338.007629,       3369879.000000
     139.0000000,        634334.746262,       3369903.999985
     139.0000000,        634330.368187,       3369929.000000
     139.0000000,        634325.072350,       3369954.000000
     139.0000000,        634318.895309,       3369979.000000
     139.0000000,        634311.883072,       3370004.000000
     139.0000000,        634303.930786,       3370029.000000
     139.0000000,        634295.013954,       3370054.000000
     139.0000000,        634284.844727,       3370079.000000
     139.0000000,        634273.135284,       3370104.000000
     139.0000000,        634259.908928,       3370129.000000
     352.0000000,        634215.000000,       3370129.000000
     352.0000000,        634171.811131,       3370129.000000
     352.0000000,        634161.624771,       3370104.000000
     352.0000000,        634152.926388,       3370079.000000
     352.0000000,        634145.869873,       3370054.000000
     352.0000000,        634140.242401,       3370029.000000
     352.0000000,        634135.784088,       3370004.000000
     352.0000000,        634132.554092,       3369979.000000
     352.0000000,        634130.538162,       3369954.000000
     352.0000000,        634129.890793,       3369929.000000
     352.0000000,        634130.812744,       3369903.999985
     352.0000000,        634133.768082,       3369879.000000
     352.0000000,        634139.003120,       3369854.000000
     352.0000000,        634147.430817,       3369829.000000
     352.0000000,        634160.120750,       3369803.999969
     352.0000000,        634181.701786,       3369779.000000
     352.0000000,        634215.000000,       3369766.145813
     352.0000000,        634248.298214,       3369779.000000
     352.0000000,        634269.879250,       3369803.999969
     352.0000000,        634282.569183,       3369829.000000
     352.0000000,        634290.996880,       3369854.000000
     352.0000000,        634296.231918,       3369879.000000
     352.0000000,        634299.187256,       3369903.999985
     352.0000000,        634300.109207,       3369929.000000
     352.0000000,        634299.461838,       3369954.000000
     352.0000000,        634297.445908,       3369979.000000
     352.0000000,        634294.215912,       3370004.000000
     352.0000000,        634289.757599,       3370029.000000
     352.0000000,        634284.130127,       3370054.000000
     352.0000000,        634277.073612,       3370079.000000
     352.0000000,        634268.375229,       3370104.000000
     352.0000000,        634258.188869,       3370129.000000
     527.0000000,        634215.000000,       3370129.000000
     527.0000000,        634172.615505,       3370129.000000
     527.0000000,        634163.918922,       3370104.000000
     527.0000000,        634156.720482,       3370079.000000
     527.0000000,        634151.259331,       3370054.000000
     527.0000000,        634147.359116,       3370029.000000
     527.0000000,        634144.830704,       3370004.000000
     527.0000000,        634143.804962,       3369979.000000
     527.0000000,        634144.403709,       3369954.000000
     527.0000000,        634146.956718,       3369929.000000
     527.0000000,        634152.019192,       3369903.999985
     527.0000000,        634160.880272,       3369879.000000
     527.0000000,        634175.987869,       3369854.000000
     527.0000000,        634215.000000,       3369832.603943
     527.0000000,        634254.012131,       3369854.000000
     527.0000000,        634269.119728,       3369879.000000
     527.0000000,        634277.980808,       3369903.999985
     527.0000000,        634283.043282,       3369929.000000
     527.0000000,        634285.596291,       3369954.000000
     527.0000000,        634286.195038,       3369979.000000
     527.0000000,        634285.169296,       3370004.000000
     527.0000000,        634282.640884,       3370029.000000
     527.0000000,        634278.740669,       3370054.000000
     527.0000000,        634273.279518,       3370079.000000
     527.0000000,        634266.081078,       3370104.000000
     527.0000000,        634257.384495,       3370129.000000
